scenario,age_group,VE_infection,VE_hosp_infection,VE_hosp_given_infection,VE_transmission_blocking
low_ve,0,33%,33%,0%,0%
low_ve,1-4,33%,33%,0%,0%
low_ve,5-12,33%,33%,0%,0%
low_ve,13-17,33%,33%,0%,0%
low_ve,18-49,6%,10%,4%,0%
low_ve,50-64,6%,10%,4%,0%
low_ve,65+,0%,21%,21%,0%
baseline_ve,0,43%,48%,9%,0%
baseline_ve,1-4,43%,48%,9%,0%
baseline_ve,5-12,43%,48%,9%,0%
baseline_ve,13-17,43%,48%,9%,0%
baseline_ve,18-49,21%,28%,9%,0%
baseline_ve,50-64,21%,28%,9%,0%
baseline_ve,65+,0%,31%,31%,0%
high_ve,0,51%,78%,55%,0%
high_ve,1-4,51%,78%,55%,0%
high_ve,5-12,51%,78%,55%,0%
high_ve,13-17,51%,78%,55%,0%
high_ve,18-49,34%,44%,16%,0%
high_ve,50-64,34%,44%,16%,0%
high_ve,65+,14%,39%,29%,0%
